Student Id,Quiz,Midterm,Assignment_1,Assignment_2,Assignment_3,Project,Presentation,Final_Exam_Marks,Total,Grade,Categories,Grade_Enc,Category_Enc
50,1.32,4.32,3.32,3.56,3.21,4.89,4.56,37.0,62.18,B-,Pass,5,4
51,9.54,8.76,3.12,4.45,4.45,7.12,9.34,36.0,82.78,A,Excellent,0,1
52,3.76,3.98,4.23,3.21,3.12,5.34,5.01,33.0,61.65,B-,Pass,5,4
53,0.54,6.1,3.65,4.65,4.09,8.9,7.89,30.0,65.82,B,Distinction,3,0
54,6.78,2.87,4.34,3.34,3.23,6.01,4.32,26.0,56.89,C+,Pass,7,4
55,2.21,9.45,3.98,4.01,4.65,4.76,6.78,29.0,64.84,B-,Pass,5,4
56,8.09,5.67,4.56,3.98,3.34,9.45,4.89,34.0,73.98,B+,Distinction,4,0
57,4.32,7.09,3.21,4.21,4.01,5.67,9.45,35.0,72.96,B+,Distinction,4,0
58,0.65,4.21,3.78,3.23,3.98,7.89,5.23,31.0,59.97,C+,Pass,7,4
59,7.01,8.34,4.09,4.78,4.21,6.23,7.56,39.0,81.22,A,Excellent,0,1
60,2.43,3.12,3.67,3.01,3.45,4.32,4.12,30.0,54.12,C,Pass,6,4
61,9.01,6.45,4.54,4.89,4.32,9.56,8.45,36.0,83.22,A,Excellent,0,1
62,3.1,2.98,3.01,3.9,3.12,5.98,6.01,38.0,66.1,B,Distinction,3,0
63,0.76,9.78,4.32,4.32,4.78,7.21,4.23,34.0,69.4,B,Distinction,3,0
64,5.43,5.01,3.23,3.12,3.01,4.1,9.12,32.0,65.02,B,Distinction,3,0
65,1.65,7.65,3.1,4.56,4.89,8.09,5.78,35.0,70.72,B+,Distinction,4,0
66,8.43,3.23,4.78,3.45,3.9,6.78,7.67,36.0,74.24,B+,Distinction,4,0
67,4.78,6.78,3.87,4.09,4.32,4.45,4.45,31.0,63.74,B-,Pass,5,4
68,0.32,2.32,4.65,3.67,3.12,9.34,8.56,34.0,65.98,B,Distinction,3,0
69,7.89,8.54,3.34,4.01,4.56,5.12,6.23,35.0,74.69,B+,Distinction,4,0
70,2.56,4.56,3.56,3.56,3.45,7.56,4.1,35.0,64.35,B-,Pass,5,4
71,6.12,7.21,4.09,4.45,4.09,4.01,9.56,30.0,69.53,B,Distinction,3,0
72,1.21,3.67,3.45,3.21,3.67,8.23,5.89,34.0,63.33,B-,Pass,5,4
73,9.87,6.01,3.9,4.12,4.01,6.45,7.34,33.0,74.7,B+,Distinction,4,0
74,3.54,2.76,4.01,3.78,3.56,4.89,4.01,32.0,58.55,C+,Pass,7,4
75,0.21,9.12,3.21,4.23,4.45,9.12,8.78,31.0,70.12,B+,Distinction,4,0
76,5.98,5.89,4.45,3.89,3.21,5.43,6.67,34.0,69.52,B,Distinction,3,0
77,1.45,7.98,3.12,4.01,4.12,7.67,4.98,23.0,56.33,C+,Pass,7,4
78,8.65,4.01,3.78,3.23,3.78,4.56,9.67,24.0,61.68,B-,Pass,5,4
79,4.21,8.43,4.01,4.32,4.23,8.78,5.45,21.0,60.43,B-,Pass,5,4
80,0.89,3.45,3.23,3.98,3.89,6.01,7.23,22.0,50.68,C,Pass,6,4
81,6.34,6.23,3.89,4.56,4.01,4.23,4.34,34.0,67.6,B,Distinction,3,0
82,2.76,9.34,4.12,3.67,3.23,9.89,8.01,39.0,80.02,A,Excellent,0,1
83,8.54,10.23,3.78,4.12,3.21,8.76,8.56,34.0,81.2,A,Excellent,0,1
84,5.32,6.78,2.45,2.54,2.67,5.43,7.89,31.0,64.08,B-,Pass,5,4
85,6.78,13.45,4.12,3.78,4.12,7.89,9.23,32.0,81.37,A,Excellent,0,1
86,3.45,8.56,3.23,2.89,3.45,6.12,6.78,36.0,70.48,B+,Distinction,4,0
87,9.01,5.32,2.98,4.01,2.89,9.01,8.12,39.0,80.34,A,Excellent,0,1
88,4.89,12.01,4.01,3.23,4.01,5.67,7.34,36.0,77.16,A-,Distinction,2,0
89,7.23,7.89,2.67,2.67,2.32,8.34,9.01,31.0,71.13,B+,Distinction,4,0
90,3.76,9.45,3.56,3.45,3.78,6.78,6.89,30.0,67.67,B,Distinction,3,0
91,8.01,11.76,4.32,4.56,2.54,9.45,8.45,23.0,72.09,B+,Distinction,4,0
92,4.56,5.89,2.1,2.98,4.56,5.21,7.56,26.0,58.86,C+,Pass,7,4
93,6.12,14.32,3.01,3.12,2.1,7.56,9.45,28.0,73.68,B+,Distinction,4,0
94,3.98,7.23,4.45,4.32,3.01,6.23,6.45,34.0,69.67,B,Distinction,3,0
95,9.45,10.98,2.32,2.1,4.32,8.9,8.9,36.0,82.97,A,Excellent,0,1
96,5.67,6.45,3.89,3.56,2.98,5.98,7.12,34.0,69.65,B,Distinction,3,0
97,7.89,13.12,4.56,4.01,3.56,7.12,9.67,36.0,85.93,A,Excellent,0,1
98,4.32,8.34,2.87,2.43,4.45,6.45,6.56,31.0,66.42,B,Distinction,3,0
99,6.01,5.67,3.12,3.89,2.43,9.34,8.23,37.0,75.69,A-,Distinction,2,0
100,9.5,14.8,3.3,4.2,4.3,7.34,8.56,39.0,91.0,A+,Exceptional,1,2
101,9.13,12.56,4.7,3.23,4.34,8.34,9.56,39.0,90.86,A+,Exceptional,1,2
102,8.75,14.56,3.3,4.23,4.74,8.34,9.56,37.0,90.48,A+,Exceptional,1,2
103,9.23,13.56,4.3,4.67,4.67,8.76,9.56,36.0,90.75,A+,Exceptional,1,2
104,9.03,14.56,2.3,4.12,4.5,8.98,9.56,39.0,92.05,A+,Exceptional,1,2
105,8.56,13.56,4.3,3.23,4.09,9.34,9.56,38.0,90.64,A+,Exceptional,1,2
106,3.21,12.45,4.01,4.45,3.23,5.32,7.78,36.0,76.45,A-,Distinction,2,0
107,8.9,6.01,2.54,2.76,4.01,8.01,9.34,37.0,78.57,A-,Distinction,2,0
108,5.09,14.09,3.45,3.01,2.76,6.67,6.01,32.0,73.08,B+,Distinction,4,0
109,7.56,9.87,4.09,4.23,3.89,9.12,8.67,33.0,80.43,A,Excellent,0,1
110,3.1,11.34,2.76,2.32,4.23,5.89,7.23,34.0,70.87,B+,Distinction,4,0
111,9.34,5.21,3.78,3.67,2.87,8.45,9.12,38.0,80.44,A,Excellent,0,1
112,5.43,13.78,4.21,4.56,3.12,6.01,6.34,36.0,79.45,A-,Distinction,2,0
113,6.45,7.56,2.98,2.21,4.01,7.78,8.01,31.0,70.0,B+,Distinction,4,0
114,3.87,10.67,3.56,3.78,2.32,5.56,7.01,32.0,68.77,B,Distinction,3,0
115,8.21,6.89,4.32,4.01,3.45,8.23,9.56,36.0,80.67,A,Excellent,0,1
116,4.01,14.54,2.43,2.87,4.56,6.34,6.12,35.0,75.87,A-,Distinction,2,0
117,7.34,8.01,3.1,3.34,2.21,9.67,8.78,37.0,79.45,A-,Distinction,2,0
118,3.56,11.23,4.65,4.09,3.67,5.1,7.45,33.0,72.75,B+,Distinction,4,0
119,9.12,5.43,2.21,2.65,4.09,7.23,9.89,31.0,71.62,B+,Distinction,4,0
120,5.78,12.56,3.34,3.12,2.98,6.89,6.67,32.0,73.34,B+,Distinction,4,0
121,6.89,7.12,4.56,4.32,3.12,8.56,8.34,36.0,78.91,A-,Distinction,2,0
122,3.23,10.12,2.89,2.98,4.32,5.78,7.67,37.0,73.99,B+,Distinction,4,0
123,8.45,6.34,3.67,3.45,2.65,7.34,9.78,31.0,72.68,B+,Distinction,4,0
124,4.78,14.76,4.23,4.12,3.56,6.45,6.23,32.0,76.13,A-,Distinction,2,0
125,7.67,8.9,2.01,2.01,4.45,9.89,8.45,36.0,79.38,A-,Distinction,2,0
126,9.32,13.56,2.3,4.18,4.5,8.98,9.97,38.0,90.81,A+,Exceptional,1,2
127,8.87,12.56,4.89,4.12,3.5,9.74,8.56,39.0,91.24,A+,Exceptional,1,2
128,8.34,14.56,3.99,3.87,4.5,8.98,9.56,37.0,90.8,A+,Exceptional,1,2
129,9.11,13.56,3.45,4.12,4.5,8.98,8.56,38.0,90.28,A+,Exceptional,1,2
130,8.98,14.56,2.3,4.45,4.77,8.98,9.56,37.0,90.6,A+,Exceptional,1,2
131,9.09,13.56,4.3,4.09,4.5,8.34,8.56,38.0,90.44,A+,Exceptional,1,2
132,9.03,14.67,2.99,4.67,4.5,7.99,9.56,37.0,90.41,A+,Exceptional,1,2
133,9.45,14.78,3.3,4.56,3.5,8.98,8.56,39.0,92.13,A+,Exceptional,1,2
134,9.89,14.96,4.3,4.45,4.89,9.98,9.56,37.0,95.03,A+,Exceptional,1,2
135,9.89,14.96,4.3,4.45,4.89,9.98,9.56,35.0,93.03,A+,Exceptional,1,2
136,9.03,14.12,4.3,4.56,4.5,8.98,9.58,36.0,91.07,A+,Exceptional,1,2
137,3.34,11.45,3.45,3.56,2.01,5.01,7.23,38.0,74.05,B+,Distinction,4,0
138,9.67,5.01,4.12,4.45,3.78,8.12,9.01,30.0,74.16,B+,Distinction,4,0
139,5.21,13.23,2.32,2.32,4.01,6.56,6.89,23.0,63.54,B-,Pass,5,4
140,6.23,7.34,3.98,3.98,2.32,9.56,8.56,28.0,69.97,B,Distinction,3,0
141,6.23,10.21,3.12,3.89,2.78,4.56,5.67,23.0,59.46,C+,Pass,7,4
142,4.89,6.45,2.45,4.12,4.23,8.23,8.23,34.0,72.6,B+,Distinction,4,0
143,8.45,13.78,4.01,3.45,3.56,7.12,7.12,35.0,82.49,A,Excellent,0,1
144,3.67,4.89,3.56,4.01,2.98,6.45,6.45,29.0,61.01,B-,Pass,5,4
145,9.12,11.34,2.98,3.56,3.45,9.01,9.01,37.0,85.47,A,Excellent,0,1
146,5.32,8.56,3.23,4.23,4.01,5.34,5.34,22.0,58.03,C+,Pass,7,4
147,7.89,5.32,4.32,3.78,2.32,8.9,8.9,32.0,73.43,B+,Distinction,4,0
148,4.56,3.67,2.76,4.32,3.67,4.76,4.76,21.0,49.5,C-,Pass,8,4
149,8.01,14.23,3.45,3.67,4.12,6.89,6.89,22.0,69.26,B,Distinction,3,0
150,3.78,6.78,4.56,4.56,2.89,4.56,4.56,20.0,51.69,C,Pass,6,4
151,6.45,12.09,2.1,3.21,3.01,7.12,9.34,35.0,78.32,A-,Distinction,2,0
152,4.32,7.56,3.78,4.45,4.45,5.34,5.01,33.0,67.91,B,Distinction,3,0
153,9.01,4.12,4.01,3.12,2.54,8.9,7.89,31.0,70.59,B+,Distinction,4,0
154,5.67,9.45,2.32,4.09,3.89,6.01,4.32,36.0,71.75,B+,Distinction,4,0
155,7.34,5.67,3.67,3.23,4.23,4.76,6.78,35.0,70.68,B+,Distinction,4,0
156,3.23,13.01,4.12,4.65,2.65,9.45,4.89,36.0,78.0,A-,Distinction,2,0
157,6.78,8.9,2.89,3.34,3.34,5.67,9.45,31.0,71.37,B+,Distinction,4,0
158,4.01,6.01,3.01,4.01,4.01,7.89,5.23,36.0,70.17,B+,Distinction,4,0
159,8.9,14.45,4.45,3.98,2.43,6.23,7.56,37.0,85.0,A,Excellent,0,1
160,5.21,7.12,2.54,4.21,3.56,4.32,4.12,32.0,63.08,B-,Pass,5,4
161,7.56,11.23,3.89,3.45,4.32,9.56,8.45,31.0,79.46,A-,Distinction,2,0
162,3.12,5.98,4.23,4.32,2.21,5.98,6.01,34.0,65.85,B,Distinction,3,0
163,9.45,12.54,2.65,3.12,3.12,7.21,4.23,37.0,79.32,A-,Distinction,2,0
164,5.98,9.01,3.34,4.78,4.09,4.1,9.12,34.0,74.42,B+,Distinction,4,0
165,7.01,7.89,4.01,3.01,2.87,8.09,5.78,36.0,74.66,B+,Distinction,4,0
166,3.45,3.23,2.43,4.89,3.01,6.78,7.67,39.0,70.46,B+,Distinction,4,0
167,8.67,13.56,3.56,3.9,4.56,4.45,4.45,30.0,73.15,B+,Distinction,4,0
168,4.78,6.23,4.32,4.32,2.98,9.34,8.56,32.0,72.53,B+,Distinction,4,0
169,7.23,10.78,2.21,3.12,3.45,5.12,6.23,36.0,74.14,B+,Distinction,4,0
170,3.56,4.56,3.12,4.56,4.01,7.56,4.1,34.0,65.47,B,Distinction,3,0
171,9.34,12.9,4.09,3.45,2.32,4.01,9.56,33.0,78.67,A-,Distinction,2,0
172,5.43,8.34,2.87,4.09,3.78,8.23,5.89,31.0,69.63,B,Distinction,3,0
173,6.56,5.21,3.01,3.67,4.23,6.45,7.34,30.0,66.47,B,Distinction,3,0
174,3.89,14.67,4.56,4.01,2.76,4.89,4.01,38.0,76.79,A-,Distinction,2,0
175,8.12,7.34,2.98,3.56,3.56,9.12,8.78,36.0,79.46,A-,Distinction,2,0
176,4.21,11.45,3.45,4.45,4.45,5.43,6.67,37.0,77.11,A-,Distinction,2,0
177,7.78,4.01,4.01,3.21,2.1,7.67,4.98,35.0,68.76,B,Distinction,3,0
178,3.01,9.67,2.32,4.12,3.67,4.56,9.67,33.0,70.02,B+,Distinction,4,0
179,9.56,5.78,3.78,3.78,4.12,8.78,5.45,30.0,71.25,B+,Distinction,4,0
180,5.12,13.12,4.23,4.23,2.76,6.01,7.23,34.0,76.7,A-,Distinction,2,0
181,6.89,6.89,2.76,3.89,3.56,4.23,4.34,38.0,70.56,B+,Distinction,4,0
182,6.78,8.56,3.45,4.23,2.45,8.23,8.56,32.0,74.26,B+,Distinction,4,0
183,4.56,7.89,2.76,3.67,3.12,6.45,7.89,33.0,69.34,B,Distinction,3,0
184,8.23,11.23,4.01,3.12,4.01,5.67,5.23,35.0,76.5,A-,Distinction,2,0
185,7.12,10.12,3.12,4.01,1.89,9.01,6.78,25.0,67.05,B,Distinction,3,0
186,5.34,5.67,2.32,3.56,2.34,7.89,9.01,29.0,65.13,B,Distinction,3,0
187,9.01,9.45,4.56,4.32,3.78,6.78,6.45,33.0,77.35,A-,Distinction,2,0
188,5.67,12.34,3.01,3.78,1.56,4.56,4.9,35.0,70.82,B+,Distinction,4,0
189,8.9,6.78,2.89,4.45,4.23,9.45,8.12,37.0,81.82,A,Excellent,0,1
190,4.76,14.56,4.23,3.89,2.67,8.9,5.67,33.0,77.68,A-,Distinction,2,0
191,6.89,4.78,3.67,4.56,3.45,5.34,7.34,36.0,72.03,B+,Distinction,4,0
192,4.56,8.9,2.54,3.21,1.23,7.12,6.01,34.0,67.57,B,Distinction,3,0
193,7.12,13.21,4.12,4.01,2.98,6.01,4.56,33.0,75.01,A-,Distinction,2,0
194,5.34,5.43,3.56,3.12,4.56,4.76,9.45,37.0,73.22,B+,Distinction,4,0
195,8.9,10.89,2.43,4.09,1.78,9.12,7.12,36.0,80.33,A,Excellent,0,1
196,6.01,6.12,4.32,3.23,2.1,5.98,5.78,34.0,67.54,B,Distinction,3,0
197,8.56,5.45,2.98,4.23,2.98,5.56,6.56,7.0,43.32,D+,Fail,9,3
198,6.56,7.45,2.98,4.23,2.98,7.56,6.78,6.0,44.54,D+,Fail,9,3
199,5.56,5.45,4.98,3.23,4.98,5.56,6.56,7.0,43.32,D+,Fail,9,3
200,5.56,5.45,3.98,4.79,3.98,6.56,7.56,6.0,43.88,D+,Fail,9,3
201,7.56,5.45,2.98,4.23,3.98,6.56,6.89,5.0,42.65,D+,Fail,9,3
202,4.76,11.78,2.1,4.65,3.56,7.34,8.23,31.0,73.42,B+,Distinction,4,0
203,9.45,7.01,3.78,3.34,4.01,4.32,6.56,29.0,67.47,B,Distinction,3,0
204,5.23,14.01,4.01,4.01,1.32,8.56,4.89,34.0,76.03,A-,Distinction,2,0
205,7.56,5.32,2.98,3.98,2.89,6.23,9.12,30.0,68.08,B,Distinction,3,0
206,4.12,12.45,3.23,4.21,3.01,4.89,7.56,35.0,74.47,B+,Distinction,4,0
207,8.45,8.23,4.45,3.45,4.45,9.34,5.34,34.0,77.71,A-,Distinction,2,0
208,9.56,13.56,4.56,4.23,4.01,8.34,9.56,39.0,92.82,A+,Exceptional,1,2
209,9.57,12.56,4.3,4.23,4.5,8.34,9.56,37.0,90.06,A+,Exceptional,1,2
210,9.56,13.56,4.78,3.23,4.01,8.34,8.56,39.0,91.04,A+,Exceptional,1,2
211,8.56,14.56,4.56,4.23,4.5,8.34,8.56,38.0,91.31,A+,Exceptional,1,2
212,9.56,12.56,4.8,4.23,4.89,7.34,9.56,38.0,90.94,A+,Exceptional,1,2
213,6.01,13.56,2.65,4.32,1.98,7.56,8.9,37.0,81.98,A,Excellent,0,1
214,4.23,6.45,3.34,3.12,2.43,6.67,6.23,35.0,67.47,B,Distinction,3,0
215,9.12,11.34,4.56,4.78,3.67,4.01,4.01,29.0,70.49,B+,Distinction,4,0
216,5.78,9.67,2.21,3.01,4.12,8.45,9.67,33.0,75.91,A-,Distinction,2,0
217,7.67,14.12,3.89,4.89,1.45,5.21,7.01,36.0,80.24,A,Excellent,0,1
218,4.45,4.56,4.23,3.9,2.76,7.67,5.45,37.0,70.02,B+,Distinction,4,0
219,8.56,10.34,2.87,4.32,3.23,6.12,8.34,36.0,79.78,A-,Distinction,2,0
220,6.23,7.56,3.56,3.12,4.32,4.45,6.89,34.0,70.13,B+,Distinction,4,0
221,4.1,12.78,4.32,4.56,1.67,8.78,4.32,37.0,77.53,A-,Distinction,2,0
222,9.56,5.89,2.01,3.45,2.21,5.12,9.23,32.0,69.47,B,Distinction,3,0
223,5.89,9.01,3.12,4.09,3.89,7.23,7.78,21.0,62.01,B-,Pass,5,4
224,7.34,13.45,4.09,3.67,4.01,4.1,5.01,27.0,68.67,B,Distinction,3,0
225,4.01,6.23,2.98,4.01,1.1,9.89,8.45,29.0,65.67,B,Distinction,3,0
226,8.78,11.9,3.45,3.56,2.54,8.01,6.34,30.0,74.58,B+,Distinction,4,0
227,8.56,12.56,4.56,4.23,4.01,8.34,9.56,39.0,90.82,A+,Exceptional,1,2
228,9.56,13.56,4.56,4.23,4.01,8.34,9.56,39.0,92.82,A+,Exceptional,1,2
229,9.57,12.56,4.3,4.23,4.5,8.34,9.56,37.0,90.06,A+,Exceptional,1,2
230,9.56,12.56,4.56,3.23,4.01,8.34,9.56,39.0,90.82,A+,Exceptional,1,2
231,8.56,12.56,4.56,4.23,4.5,8.34,9.56,38.0,90.31,A+,Exceptional,1,2
232,9.56,12.56,4.8,4.23,4.01,7.34,9.56,39.0,91.06,A+,Exceptional,1,2
233,8.92,12.56,4.74,4.23,4.01,8.34,8.56,39.0,90.36,A+,Exceptional,1,2
234,9.56,13.56,4.56,4.23,4.01,7.34,9.56,39.0,91.82,A+,Exceptional,1,2
235,8.78,14.56,4.56,4.23,4.01,8.34,9.56,39.0,93.04,A+,Exceptional,1,2
236,9.56,12.56,4.56,4.79,4.01,8.34,9.56,39.0,92.38,A+,Exceptional,1,2
237,8.56,12.56,4.56,4.23,4.01,8.7,9.56,39.0,91.18,A+,Exceptional,1,2
238,6.67,8.01,4.01,4.45,3.34,5.43,4.45,34.0,70.36,B+,Distinction,4,0
239,4.98,14.67,2.32,3.21,4.56,7.01,9.56,34.0,80.31,A,Excellent,0,1
240,9.67,7.34,3.78,4.12,1.78,6.34,7.23,32.0,72.26,B+,Distinction,4,0
241,5.45,12.01,4.23,3.78,2.32,4.23,5.89,25.0,62.91,B-,Pass,5,4
242,7.23,5.21,2.76,4.23,3.56,9.56,8.67,34.0,75.22,A-,Distinction,2,0
243,4.34,10.45,3.56,3.89,4.01,5.65,6.12,30.0,68.02,B,Distinction,3,0
244,4.56,7.89,3.45,4.23,2.45,8.23,8.76,39.5,79.07,A-,Distinction,2,0
245,8.23,5.12,2.76,3.67,3.12,6.45,6.89,36.0,72.24,B+,Distinction,4,0
246,7.12,11.45,4.01,3.12,4.01,5.67,7.45,22.0,64.83,B-,Pass,5,4
247,6.45,9.67,3.12,4.01,1.89,9.01,5.78,33.0,72.93,B+,Distinction,4,0
248,9.01,4.23,2.32,3.56,2.34,7.89,9.23,32.0,70.58,B+,Distinction,4,0
249,5.34,12.56,4.56,4.32,3.78,6.78,6.34,34.0,77.68,A-,Distinction,2,0
250,8.9,6.78,3.01,3.78,1.56,4.56,8.01,35.0,71.6,B+,Distinction,4,0
251,8.99,12.56,4.74,4.23,4.67,8.34,8.56,39.0,91.09,A+,Exceptional,1,2
252,9.23,13.56,4.44,4.23,4.77,7.34,8.56,38.0,90.13,A+,Exceptional,1,2
253,8.75,14.99,4.56,3.99,4.01,9.34,9.56,37.0,92.2,A+,Exceptional,1,2
254,9.31,12.67,4.56,4.79,3.99,8.34,9.56,39.0,92.22,A+,Exceptional,1,2
255,8.44,13.78,4.56,4.23,4.01,8.7,9.56,38.0,91.28,A+,Exceptional,1,2
256,8.42,12.78,4.56,4.89,4.9,8.69,9.8,37.0,91.04,A+,Exceptional,1,2
257,4.76,14.23,2.89,4.45,4.23,9.45,5.56,31.0,76.57,A-,Distinction,2,0
258,6.89,5.43,4.23,3.89,2.67,8.9,7.12,30.0,69.13,B,Distinction,3,0
259,4.56,8.9,3.67,4.56,3.45,5.34,6.67,35.0,72.15,B+,Distinction,4,0
260,7.12,13.01,2.54,3.21,1.23,7.12,5.34,36.0,75.57,A-,Distinction,2,0
261,5.34,6.01,4.12,4.01,2.98,6.01,8.9,33.0,70.37,B+,Distinction,4,0
262,8.9,4.89,3.56,3.12,4.56,4.76,6.23,29.0,65.02,B,Distinction,3,0
263,6.01,10.34,2.43,4.09,1.78,9.12,7.89,31.0,72.66,B+,Distinction,4,0
264,4.76,7.12,4.32,3.23,2.1,5.98,5.45,35.0,67.96,B,Distinction,3,0
265,9.45,13.56,2.1,4.65,3.56,7.34,9.01,37.0,86.67,A,Excellent,0,1
266,5.67,8.45,3.78,3.34,4.01,4.32,7.56,30.0,67.13,B,Distinction,3,0
267,7.89,6.56,4.01,4.01,1.32,8.56,6.78,33.0,72.13,B+,Distinction,4,0
268,6.23,14.12,2.98,3.98,2.89,6.23,5.01,36.0,77.44,A-,Distinction,2,0
269,4.32,3.67,3.23,4.21,3.01,4.89,8.45,33.5,65.28,B,Distinction,3,0
270,9.56,9.01,4.45,3.45,4.45,9.34,6.01,31.5,77.77,A-,Distinction,2,0
271,5.98,11.78,2.65,4.32,1.98,7.56,7.23,32.5,74.0,B+,Distinction,4,0
272,7.21,4.56,3.34,3.12,2.43,6.67,5.89,38.0,71.22,B+,Distinction,4,0
273,4.1,12.23,4.56,4.78,3.67,4.01,9.56,30.0,72.91,B+,Distinction,4,0
274,8.09,7.34,2.21,3.01,4.12,8.45,6.45,33.0,72.67,B+,Distinction,4,0
275,6.78,5.78,3.89,4.89,1.45,5.21,8.34,35.0,71.34,B+,Distinction,4,0
276,4.45,10.45,4.23,3.9,2.76,7.67,5.12,36.0,74.58,B+,Distinction,4,0
277,9.34,3.45,2.87,4.32,3.23,6.12,7.67,38.0,75.0,A-,Distinction,2,0
278,6.5,14.0,4.5,4.7,4.9,9.1,9.11,38.0,90.81,A+,Exceptional,1,2
